slidename,mu1,mu2,mu3,sigma1,sigma2,sigma3
TCGA-BR-8372-01Z-00-DX1.d0f9d5fd-3d6e-4d86-ad63-fb3611d6af05.svs,8.218366102510634,-0.14874564104251375,0.073461196586973,0.561723377480788,0.13055991561448982,0.028715785160625774
TCGA-BR-8370-01Z-00-DX1.9243927e-08a3-4d97-a8b8-bea795418039.svs,8.84963613968139,-0.05652346285291939,0.04515659195286155,0.38945623030260507,0.07476859222432533,0.02537819079030077
TCGA-BR-A4CS-01Z-00-DX1.84B5892C-6C7F-474D-BA09-04E870A47764.svs,8.462485771516672,-0.07661263524834659,0.06623053771522038,0.5743808538304742,0.13955654126150047,0.035048119678019636
TCGA-BR-8382-01Z-00-DX1.b74fc4a1-4dfc-47dc-8ee1-2fa44ad17a69.svs,8.59201955512867,-0.10743537404239005,0.06933387772533033,0.5545224303178927,0.11417710049085886,0.030628500021844644
TCGA-BR-8369-01Z-00-DX1.13c80644-af27-4971-9e41-4d18c1c78378.svs,8.902112649973612,-0.05515516165409097,0.049235590348161856,0.3786080800194536,0.07507727259425022,0.027382955121633797
TCGA-BR-8380-01Z-00-DX1.4692f9c9-a7f2-4274-be65-6990f02c1275.svs,8.137192845541147,-0.057516393014551775,0.10673623406126764,0.6519459957846021,0.1556020431399201,0.03798087208661761
TCGA-CG-4437-01Z-00-DX1.3FB7BF81-9E9A-4864-9627-0865486C07A0.svs,8.842295374739006,-0.08233292393025593,0.00946009877672564,0.19347822454730226,0.04163997195698129,0.002303093263175128
TCGA-BR-8484-01Z-00-DX1.5c897888-fcd2-4214-aa1e-f6a63ff1b755.svs,8.332560392929654,-0.09137634630795188,0.0804410993249894,0.673342672697513,0.13714235885756854,0.03393788814681217
TCGA-BR-6710-01Z-00-DX1.9368e11d-9000-4e84-8772-a0ee54932049.svs,8.12193778729618,-0.12139917463422013,0.07884516376648755,0.6156120730210721,0.14268984895114778,0.040769970964072956
TCGA-BR-6564-01Z-00-DX1.ad86e83f-ebfd-4eee-8bf8-7490c5f79a17.svs,8.84348283124238,-0.05695208493568161,0.0384671063496946,0.37552068152215323,0.07229383540098323,0.019984138807060823
TCGA-BR-7722-01Z-00-DX1.06384343-d45c-4087-95c6-3b11304ec28e.svs,8.614375586731608,-0.06351680002757237,0.055935170510766775,0.5047076412064246,0.10348814773591643,0.02982020942739044
TCGA-BR-7901-01Z-00-DX1.5c4f8dec-3428-4019-a9fb-00f07f9418e6.svs,8.644998767758983,-0.06370604992033406,0.056827231023229424,0.5176508298231532,0.09986843933559408,0.03224255161528999
TCGA-BR-6458-01Z-00-DX1.e889b058-99ab-4337-84a5-60a884caad55.svs,8.54325349445148,-0.08312747677533543,0.05740424761840283,0.5312273528679645,0.09716933875162097,0.02940981146070178
TCGA-BR-7957-01Z-00-DX1.870e24e0-b9cf-4baa-91f1-bd031d06da8e.svs,8.63786989947061,-0.05445615677544149,0.053233157863822045,0.48342622057210044,0.12448425630904247,0.042810708515967605
TCGA-BR-8487-01Z-00-DX1.81ed3672-7b6c-4db4-9cba-3f0173709320.svs,8.823816396430352,-0.04845249084528695,0.05436419941591902,0.42234501337934377,0.07863710359490049,0.02784108743847518
TCGA-BR-8364-01Z-00-DX1.245676db-6d78-4ae4-ae36-b4a70781a2f8.svs,8.559408537197779,-0.04887984915186735,0.06007037073992276,0.48068956315662675,0.09958144201319534,0.030977089959713558
TCGA-BR-8680-01Z-00-DX1.a314ef6e-f3f9-4148-934e-dc432e3f39e8.svs,8.220336934818052,-0.0897726183623872,0.08575851546342975,0.547563168146251,0.11915687327396086,0.029362428755468913
TCGA-CG-4301-01Z-00-DX1.d3a38b46-9f9c-4ed4-a1c7-fc1e48263a53.svs,9.080769992899933,-0.14224695413125837,0.016954749828340235,0.3139973546657056,0.11831022352821198,0.014623707630282989
TCGA-BR-8291-01Z-00-DX1.a7e89a69-6d6d-4c43-b299-a618bd859170.svs,8.771408456298493,-0.049500122626200814,0.0452524649955075,0.48970985570970804,0.10458604761040675,0.03665425430806892
TCGA-BR-6802-01Z-00-DX1.e171554c-05b5-4622-beb7-0abee31f5109.svs,8.450342953558481,-0.08181265054470503,0.05664893764998374,0.6136076724544587,0.10532092970255369,0.046385724643045786
TCGA-BR-8682-01Z-00-DX1.269b5b35-7ccb-4343-b2a4-2add6fa129a5.svs,8.422554496225517,-0.023539162320280433,0.08770718240861147,0.47268178744849243,0.10291464511917583,0.03146515526595397
TCGA-BR-8366-01Z-00-DX1.3cda0b57-d0a4-4877-a31c-c9f5f9007cc7.svs,8.879452764272822,-0.04734599646108983,0.0477566065687091,0.3721873441629737,0.06637784849579093,0.025184746415842667
TCGA-CG-4441-01Z-00-DX1.0e2867aa-9b2d-4539-b218-a1a318361dfc.svs,8.839969178611998,-0.20878003789852673,0.0650287092695995,0.37362364991849684,0.11195708076867918,0.027113607822201395
TCGA-BR-7959-01Z-00-DX1.fe1ffcd9-7252-4ac8-9ece-08b9cd78107c.svs,8.585324120650666,-0.029828637603238367,0.0731466500063789,0.5637249205602439,0.11913843193822912,0.04556456963245678
TCGA-BR-8486-01Z-00-DX1.5a31224e-5c0e-49ca-ae65-d2edc8e4a0a2.svs,8.692663776624014,-0.08785236094900738,0.04559812581864475,0.4406230401639635,0.09339294988123645,0.02167906220868052
TCGA-BR-7716-01Z-00-DX1.777e570a-5771-4288-b110-26e44358745b.svs,8.667765565778502,-0.05587144059372668,0.04333038790918371,0.5943653316199649,0.10245542146571532,0.04371757770907968
TCGA-BR-6566-01Z-00-DX1.908c1c0f-12a4-4fa8-a398-ca3b033e7496.svs,8.810360091299936,-0.07696284757584491,0.03347726597832002,0.4158124076844987,0.08181588015498853,0.01795967152818793
TCGA-BR-8058-01Z-00-DX1.e2c9bf25-0e6b-4088-9148-483f45893c3d.svs,8.555207291576496,-0.0019670375842121383,0.07322985441191339,0.507937642713681,0.11393688335851779,0.047987545864154296
TCGA-CG-5716-01Z-00-DX1.971C2889-E3D7-48BC-8148-F03A7FEFE982.svs,8.412229145140953,-0.20828926536892797,0.009961873992815264,0.4447623696604104,0.1165462249614867,0.012505727249187058
TCGA-CG-5717-01Z-00-DX1.6E375046-B9C3-49DD-A934-9AE4BE2895E0.svs,8.701229677805573,-0.09122952216405829,0.0012605496656303869,0.25446972327557055,0.05021221011453481,0.0036210306829309678
TCGA-CG-5721-01Z-00-DX1.F4E6AF45-0B1D-499E-AE95-6AFC9344F731.svs,8.726629440379543,-0.13238736127666484,0.02106654663754679,0.3240864728277198,0.0953890173598707,0.009127078330304815
TCGA-CG-5718-01Z-00-DX1.4BA9B20E-9555-4993-9B55-9E5A9C5C3905.svs,8.64565669651352,-0.13129665538000204,0.01381755766521605,0.30357339401212263,0.06658108342828808,0.005942014154616523
TCGA-BR-8677-01Z-00-DX1.7b2468f0-636f-4447-ae26-05cacf24e9c4.svs,8.72915708456681,-0.04284491045842625,0.05263058229814153,0.5144757903432465,0.09253604655648792,0.027411568048841352
TCGA-CG-5719-01Z-00-DX1.8E669F41-406C-4AB4-8B73-A079D6690537.svs,8.696694100824551,-0.12679151022529328,0.011431058198557265,0.2958771377004891,0.0678812905702286,0.0051572599062471546
TCGA-CG-5722-01Z-00-DX2.2A4EC4AE-A520-4E86-8E48-E6FFBFC3F340.svs,8.76037042466318,-0.06867460545562948,0.009226471704117918,0.23918541527972229,0.03603679936656875,0.003765239011577223
TCGA-CG-5725-01Z-00-DX1.2FDB162B-9080-434D-AEE0-B867BE8D3786.svs,8.919405437446729,-0.0544634358158557,0.008682889465764206,0.18047194072818784,0.03515167188875849,0.005150909027208463
TCGA-CG-5724-01Z-00-DX1.89B75EBF-BF6E-418F-8FA7-F564055EE6DA.svs,8.820416495186148,-0.08873614487119051,0.019139687671302617,0.22879684421207674,0.05560261761938693,0.008178815583473931
TCGA-CG-4444-01Z-00-DX1.2f966933-a92c-4888-853c-2f8ca195120e.svs,8.880561992533858,-0.2222784321871343,0.06608625216485177,0.4291788554151223,0.13348649001215476,0.03802457725642998
TCGA-CG-5720-01Z-00-DX1.934A284B-B33A-4C76-B423-2110012B7178.svs,8.704655361687502,-0.11682986646903631,0.028776153145430607,0.2536628064286941,0.0595285591341911,0.010862282068344357
TCGA-BR-8592-01Z-00-DX1.5656d484-7850-467a-9d51-b6005a992225.svs,8.917223316659515,-0.03234741695750275,0.04199837930916788,0.3425135727905352,0.06815416933156374,0.02133792276088836
TCGA-CG-5722-01Z-00-DX1.C1B50B01-0328-4DAF-8EDA-024D2A7EC07F.svs,8.808191706909007,-0.08266227595735719,0.012255839404351786,0.2230344671930664,0.052366085988072054,0.0064647545573192225
TCGA-CG-5727-01Z-00-DX1.2B805B2B-6D29-4F6F-B22E-944091C53127.svs,8.723792072568767,-0.11320692117559056,0.007454992010588783,0.3543094488634745,0.09595045390908129,0.0049604779772174125
TCGA-CG-5730-01Z-00-DX1.FA6F1EEE-3581-4824-AFC2-A5FFC04DF5A2.svs,8.895363261838895,-0.07140787688233434,0.012084038322041557,0.1828384559163615,0.03995272277810266,0.003747180173810159
TCGA-CG-5734-01Z-00-DX1.52E92249-B566-48B3-8D54-71B945A8C0AB.svs,8.872068404737977,-0.06599327220719814,0.008820861235152598,0.17786964379168657,0.0380081882312042,0.0027229269078482914
TCGA-CG-5723-01Z-00-DX1.A0FB6EFA-304F-4267-8C6E-D9E750F67FDC.svs,8.598017211422476,-0.16321787082851077,0.028874677034473988,0.34962077241837836,0.09265443674962949,0.012332749542599232
TCGA-CG-5726-01Z-00-DX1.AF4BAEE4-45CE-453F-B4B9-8373A5909315.svs,8.823727085851527,-0.09290682447019406,0.014931454143837595,0.1909925181209361,0.047010635679554456,0.004952702405705146
TCGA-CG-5728-01Z-00-DX1.F370843C-2958-463F-90F9-DB3F08B8554B.svs,8.717092012825782,-0.12959046435582713,0.030695264287504537,0.2582793648147991,0.06572542345965786,0.010179205911574719
TCGA-CG-4455-01Z-00-DX1.f695a661-323d-4aeb-a3db-72510719eeed.svs,8.941697566249621,-0.1733759737085323,0.014196052658088933,0.3951614404608692,0.11911567331940275,0.013511124491027843
TCGA-CG-5732-01Z-00-DX1.56EE8B97-4D88-4EA1-9EC9-B1A9F79C35D5.svs,8.781307424263757,-0.09105420562763662,0.007482537706599184,0.2687189613157526,0.05618787390511782,0.004548932981872581
TCGA-CG-5733-01Z-00-DX1.E284A707-2D4B-438A-8B62-FCFD4510FAD3.svs,8.701855655667373,-0.11657495983807013,0.02425338524081986,0.28728140609963465,0.07479707780892564,0.013132099421820798
TCGA-BR-6456-01Z-00-DX1.2cb7b656-95e1-4f34-99e6-77a051fb79e5.svs,8.746200093842246,-0.0527419103110294,0.05240906720717138,0.38208478841018345,0.06888035349138807,0.023669951094750973
TCGA-BR-8381-01Z-00-DX1.1a017141-7af0-4aba-8e07-18b9bd9ce6a3.svs,8.276456031422619,-0.15337775092317313,0.07005634591136652,0.6335272663182152,0.14979728006305967,0.029418359124105786
TCGA-CG-4300-01Z-00-DX1.3ad2eb8f-a266-441f-93d4-c45ec9c553d9.svs,9.007033549400226,-0.17792461246592378,0.01662459105655958,0.3179906999809603,0.11380763572912825,0.013328317106061518
TCGA-BR-6852-01Z-00-DX1.9cdca0ad-9351-42c2-8082-3742de914369.svs,8.552136766133053,-0.06892894101753155,0.05928110045233673,0.6194669598286654,0.12062733375351659,0.04059560478888948
TCGA-CG-4442-01Z-00-DX1.3273280a-8780-4e91-bb5e-97d174989183.svs,8.983137671112345,-0.1803168072450649,0.05006734854400124,0.32827865763989245,0.10688057773465835,0.023529777396316173
TCGA-CG-4449-01Z-00-DX1.87ab158b-0699-4b22-9d51-58abd1033245.svs,8.536601374773614,-0.29538537592153097,0.03825601907097207,0.6325400376781664,0.1786777567561038,0.02552978391261967
